step,rank,full_step_ns,advance_ns,observables_ns,visit_ns,evidence_resources_ns,csv_ns,checkpoint_ns,candidate_ns,state_copy_ns,velocity_halo_ns,thermo_ns,boundary_derived_ns,flux_ns,certificate_ns,residual_ns,equivalence_hash_ns,schur_prepare_ns,krylov_ns,recovery_ns,baseline_evaluations,extrapolation_evaluations,ladder_evaluations,incomplete_evaluations,rejected_extrapolations,reported_collective_subtotal,structured_control,ibm_control,pressure_calls,pressure_prepare_ns,pressure_solve_ns,pressure_close_ns,diagonal_calls,diagonal_prepare_ns,diagonal_solve_ns,diagonal_close_ns,spatial_calls,spatial_prepare_ns,spatial_solve_ns,spatial_close_ns,A_apply_ns,M_apply_ns,arnoldi_dot_ns,arnoldi_reduce_ns,arnoldi_update_ns,final_momentum_ns,terminal_metrics_ns,boundary_ledger_ns,structured_wait_ns,structured_control_ns,dropped_loops,scalar_remap_ns,scalar_coupling_sweeps,scalar_remap_iterations
1001,24,10621513002,10609889402,11139205,50,400272,84033,40,2487187847,831866,116137785,229348300,606075086,507297779,198274994,658525159,170660966,239806336,4704217189,19048209,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92885432,3492553097,16410757,1,146920904,1211664092,2637452,1696090230,2351417895,97434553,177146897,35046375,198620313,5143789,31301439,412058653,388384836,0,0,0,0
1001,25,10621510302,10609891892,11134565,50,400482,83273,40,2486541856,616547,116278717,229848101,605702494,506946060,198444486,658645672,170028909,239738072,4704297752,19016698,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92849650,3492556067,16430238,1,146888422,1211741685,2586460,1632575392,2353047885,101955092,209507509,35390958,198568561,5197551,31296550,411457629,406219250,0,0,0,0
1001,26,10621513152,10609889822,11136165,50,403142,83933,40,2485982724,786294,116179845,230759215,605730794,504992691,199527031,658497054,169470127,239851997,4704148958,19075671,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92896972,3492547528,16410538,1,146955025,1211601430,2665133,1640862926,2354556522,100139274,198088910,35568646,198626243,5135149,31304689,426527445,418541882,0,0,0,0
1001,27,10621512832,10609890482,11135735,50,402402,83163,1000,2487611572,794123,116237315,230305801,605245522,506937540,198456717,658640222,170964641,239775975,4704364613,18940216,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92886142,3492622108,16356136,1,146889833,1211742505,2584080,1653532091,2353803690,98278703,189448554,34851671,198567741,5198121,31293409,447583452,427281065,0,0,0,0
1001,28,10621512212,10609884472,11142785,40,400842,84043,30,2486978650,829976,116140324,229172094,606243121,507450237,198145217,658496417,170460154,239820188,4704256792,19008547,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92898084,3492619610,16343595,1,146922104,1211637182,2664952,1657957825,2351842639,98690297,188089623,36376595,198626223,5136079,31297959,415524693,429268364,0,0,0,0
1001,29,10621509252,10609883232,11142155,40,400902,82893,30,2486995980,748702,116245687,229382884,606170308,506412604,198975174,658632101,170403039,239711631,4704158569,19152712,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92834119,3492496916,16485860,1,146877512,1211661653,2666852,1611156627,2346654628,97169131,226758473,38220644,198568961,5194801,31295459,408857054,426599795,0,0,0,0
1001,30,10621511502,10609886112,11141005,40,400452,83843,50,2486900292,809463,116169856,230831976,604596541,507358551,198226472,658502509,170368619,239818686,4704277292,18959025,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92863641,3492643510,16323764,1,146955045,1211633782,2635261,1617804795,2348614511,102439239,226580111,39748395,198629093,5134839,31302849,412593097,416646237,0,0,0,0
1001,31,10621511842,10609885352,11143255,50,399832,83313,40,2487334942,845614,116180068,230403024,605151869,507327501,198056156,658675043,170670029,239773383,4704155468,19144542,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92887351,3492501205,16463070,1,146886032,1211654263,2681472,1608071484,2355377597,99292087,229755299,37389698,198568551,5193761,31301459,452771810,436298349,0,0,0,0
1001,32,10621514232,10609885932,11141255,50,403142,83813,40,2493330311,660853,116227195,233245532,602157006,505510284,200071499,658491607,176926865,239807457,4704457916,18809030,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92886123,3492720361,16244961,1,146921334,1211737555,2564069,1697589268,2355132575,97261172,169273156,33336540,198618642,5138420,31304640,390054017,418707268,0,0,0,0
1001,33,10621512762,10609886942,11138275,50,404042,83423,30,2491196892,770167,116195333,233090008,602470755,505765634,199634232,658638302,174606492,239716172,4704400786,18920625,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92830220,3492630280,16367806,1,146885952,1211770506,2552819,1681984652,2354461577,94133295,182560517,34037163,198566081,5191531,31308200,429052529,386098147,0,0,0,0
1001,34,10621514482,10609904962,11120965,40,404642,83843,30,2490945217,730222,116187825,233027366,603445195,504450121,200079951,658501185,174484240,239793527,4704393724,18862173,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92879563,3492701471,16258862,1,146913964,1211692253,2603311,1659399287,2351962388,102685619,196004361,35026040,198625733,5129679,31309720,418833053,378566748,0,0,0,0
1001,35,10621513072,10609886972,11141695,40,401022,83303,40,2491929196,723342,116267648,232829182,602738839,505034171,200338788,658656481,175306891,239719382,4704390785,18923445,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92841810,3492729762,16252633,1,146877572,1211661023,2670812,1694819365,2354835148,94610030,181771233,34723265,198565191,5190451,31308479,440202456,368424790,0,0,0,0
1001,36,10621514742,10609885822,11142865,40,401792,84093,130,2491622888,788463,116172675,232016147,603389008,505000912,200604224,658480776,175123237,239797986,4704304684,18947785,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92889623,3492628891,16321034,1,146908363,1211675793,2626751,1698183788,2343290746,96116349,175960232,35239692,198636923,5121749,31304589,412986426,378017424,0,0,0,0
1001,37,10621507562,10609880922,11138935,60,404242,83373,30,2491536864,782025,116229956,233397269,602156836,505211085,200171490,658651422,174902560,239738645,4704303083,19028207,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92848092,3492667701,16332564,1,146890553,1211635382,2695643,1698178421,2352979986,96569902,173835106,35787407,198566081,5192381,31305950,441556568,379276514,0,0,0,0
1001,38,10621514572,10609886962,11141965,40,401892,83683,30,2493896097,794703,116152745,232793199,602627060,505212054,200362659,658533138,177374128,239802876,4704391984,18870223,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92897483,3492709841,16248562,1,146905393,1211682143,2621661,1653217512,2350455212,101708323,205837554,37450730,198626163,5130679,31307610,435667009,379524741,0,0,0,0
