step,rank,full_step_ns,advance_ns,observables_ns,visit_ns,evidence_resources_ns,csv_ns,checkpoint_ns,candidate_ns,state_copy_ns,velocity_halo_ns,thermo_ns,boundary_derived_ns,flux_ns,certificate_ns,residual_ns,equivalence_hash_ns,schur_prepare_ns,krylov_ns,recovery_ns,baseline_evaluations,extrapolation_evaluations,ladder_evaluations,incomplete_evaluations,rejected_extrapolations,reported_collective_subtotal,structured_control,ibm_control,pressure_calls,pressure_prepare_ns,pressure_solve_ns,pressure_close_ns,diagonal_calls,diagonal_prepare_ns,diagonal_solve_ns,diagonal_close_ns,spatial_calls,spatial_prepare_ns,spatial_solve_ns,spatial_close_ns,A_apply_ns,M_apply_ns,arnoldi_dot_ns,arnoldi_reduce_ns,arnoldi_update_ns,final_momentum_ns,terminal_metrics_ns,boundary_ledger_ns,structured_wait_ns,structured_control_ns,dropped_loops,scalar_remap_ns,scalar_coupling_sweeps,scalar_remap_iterations,source_meta_sha256
10511,39,9286139882,9274194573,11452723,50,396640,95845,51,2064556396,563460,106798829,204979603,485446622,421909200,159399449,551955442,133482767,198064784,4103944685,16630357,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75960222,2850845521,13722618,1,122104562,1253099164,2907739,1434696657,1942825186,119236033,196083212,58390789,201820250,4936611,33127378,430311701,277259426,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,40,9286144992,9274190763,11460394,40,394120,96145,3530,2062108999,474835,106847712,199712292,490710031,423694975,157589924,552069358,130969501,198044031,4103825139,16636897,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75945700,2850737045,13700727,1,122098331,1253088094,2936170,1404109077,1944952536,117104303,219383793,59109844,201839642,4925211,33110556,384692967,298729042,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,41,9286139101,9274187453,11463563,40,392071,95925,49,2062272778,540109,106825381,201504622,488905769,423712405,157610148,551916400,131225873,198053701,4103781428,16800806,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75935889,2850742846,13848345,1,122117812,1253038582,2952461,1399019503,1946867510,122907724,215897831,57492737,201818870,4947032,33113446,391742723,297554284,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,42,9286141612,9274190373,11461183,60,394031,95674,291,2061895211,287076,106881493,198035730,492367532,423825201,157436179,552110169,130909977,198025398,4103847400,16615688,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75928327,2850778847,13664337,1,122097071,1253068553,2951351,1390670593,1943924148,130365127,215804430,55750336,201843662,4909500,33135798,368985516,305003323,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,43,9286138752,9274192383,11457933,40,393220,95116,60,2062566412,541950,106824592,199899544,490502546,423977689,157356835,551927229,131502457,198058742,4103778916,16782036,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75949520,2850702223,13856766,1,122109222,1253076693,2925270,1401339595,1946641046,117269026,218079264,62529488,201817580,4937751,33124808,348648211,296845863,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,44,9286142372,9274194363,11457313,40,393811,96745,100,2062551180,570599,106827241,198963326,491444155,423999053,157292320,552060144,131360501,198030760,4103803698,16663878,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75937519,2850756956,13686436,1,122093241,1253046742,2977442,1398743407,1946603676,121192192,215077366,55538879,201826641,4925031,33126878,365437678,306521685,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,45,9286139782,9274188773,11462884,49,392391,95625,60,2062292650,329889,106797221,201463851,488935009,423884917,157452099,551916887,131479766,198044571,4103751745,16845510,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75926719,2850706873,13897579,1,122117852,1253044872,2947931,1402150185,1946522399,116468174,218933238,57760277,201819280,4936771,33125568,370700446,305102975,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,46,9286143312,9274195063,11456773,51,393810,97565,50,2062786383,572259,106855852,201287395,489126678,424082658,157188583,552069724,131570183,198043960,4103831720,16626686,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75945339,2850751927,13682325,1,122098621,1253079793,2944361,1414835987,1944012434,117858890,207438401,59030611,201861072,4893659,33129548,350629593,300923700,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,47,9286140122,9274191083,11460154,40,393370,95435,40,2062474158,568579,106801972,201515133,488887748,423532676,157779898,551928437,131436874,198068492,4103784056,16763975,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75954770,2850706103,13839205,1,122113722,1253077953,2924770,1349189177,1947209815,125673132,249759454,58656033,201819021,4935931,33128178,364222698,352789585,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,48,9286140851,9274188293,11461813,51,394700,95934,60,2064878331,623091,106812810,202989472,487433830,422148051,159138404,552122068,133596312,198026109,4103842742,16634675,6,3,4,0,1,4603,1236,61,0,0,0,0,5,75923207,2850758238,13700726,1,122102902,1253084504,2933949,1385334543,1944695175,123802278,223708301,59233175,201825990,4943952,33108586,413579619,332088963,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
